u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
0.0,52.55825887119785,54.16556973984826,52.55825887119792,54.16556973984816,,
1.0,53.076721045246195,53.644660133571826,53.07672104524615,53.64466013357185,,
2.0,53.598501499234985,53.12704073672542,53.59850149923497,53.12704073672544,,
3.0,54.123589656377135,52.61271973703154,54.1235896563771,52.612719737031455,,
4.0,54.651981778801236,52.10169574684871,54.6519817788013,52.10169574684873,,
5.0,55.18369433145142,51.59394233259525,55.183694331451434,51.59394233259525,,
6.0,55.71881236074719,51.089351961420974,55.71881236074713,51.08935196142099,,
7.0,56.2577210462771,50.58746749060168,56.2577210462771,50.58746749060172,,
8.0,56.79747297371888,,60.71181271399276,50.091633747295624,62.34744124200436,
9.0,57.34191069767663,,61.27214067986454,49.59750953427957,62.873832328558734,
10.0,57.88950158356256,,61.83552861964359,49.106785564724404,63.40354249365628,
11.0,62.401726369880684,,62.401726369880706,,63.93627543410341,63.93627543410341
