nu,u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
-6,1.0,56.9100865,56.9100865,,,,,,
-5,1.0,56.3521227,56.3521227,56.31265912,,,,,
-4,1.0,57.77667296,57.77667296,57.7542419,57.7542419,,,,
-3,1.0,57.19271193,57.19271193,52.50905134,55.24328359,,,,
-2,1.0,53.9857773,55.76841782,54.89605526,56.63736294,,,,
-1,1.0,,61.17225352,57.90581905,50.43720229,59.22248608,,,
0,1.0,,57.78007663,,58.62988283,67.50937478,59.21278291,,
1,1.0,,59.24285457,,58.67685313,52.17571511,42.31391133,,
2,1.0,,,61.58850184,62.60199923,55.23908094,,54.37069064,
3,1.0,,,,65.98694831,49.49910367,44.32375152,46.42976496,
4,1.0,,,,,66.90941656,59.5269859,66.90941656,59.5269859
5,1.0,,,,,58.7570941,,60.3016544,66.54334649
6,1.0,,,,,,62.44124417,,62.44124417
